parameter,v(vin),v(vout),i(r1)
0,0,8.629844532027201e-28,-8.629844532027202e-31
0.5,0.5,0.49772263569897474,0.000002277364301025264
1,1,0.6294241232935168,0.0003705758767064832
1.5,1.5,0.650869618458407,0.000849130381541593
2,2,0.6626190014481124,0.0013373809985518877
2.5,2.5,0.6707193927975389,0.001829280607202461
3,3,0.6769003823839707,0.0023230996176160294
3.5,3.5,0.6819012945204473,0.0028180987054795526
4,4,0.686090439571353,0.0033139095604286474
4.5,4.5,0.6896994470569845,0.0038103005529430156
5,5,0.6928689232907859,0.004307131076709214
